Ville,Type de bien,Prix
Agde ,appartement,236900
Castelnau-de-Montmiral ,propri,630000
Toulouse ,appartement,230500
Rungis ,appartement,487000
Arles ,appartement,233000
Arles ,appartement,224000
Castres ,propri,870000
Cenon ,appartement,399000
Coëtmieux ,terrain,194000
Montpellier ,appartement,137000
La Copechagnière ,maison,177302
Albi ,propri,980000
Blanquefort ,appartement,452000
Le Perreux-sur-Marne ,appartement,496000
Agde ,appartement,303850
Amiens ,appartement,242000
Lavaur ,villa,815000
Toulouse ,appartement,262900
Veigné ,maison,268300
Honfleur ,appartement,242880
Anse ,appartement,335000
Aussillon ,propri,599000
Toulouse ,appartement,264900
Arpajon ,appartement,270040
Hennebont ,appartement,219500
Luisant ,appartement,286535
Luce ,appartement,269000
Saint-Jean-de-la-Ruelle ,appartement,273000
Versailles ,appartement,859000
Mios ,maison,363640
Versailles ,maison,1149000
Poitiers ,appartement,252000
Castres ,maison,569000
Toulouse ,appartement,490900
Rungis ,maison,575000
Saint-Jean-de-la-Ruelle ,appartement,285000
Dijon ,appartement,250000
Les Lilas ,maison,750000
Villeurbanne ,appartement,562500
Draguignan ,maison,355000
Saint-Paër ,maison,214500
Laval ,appartement,235000
Les Lilas ,appartement,750000
Irigny ,appartement,511500
Dijon ,appartement,270000
Le golfe juan ,appartement,436000
Agde ,appartement,242000
Sainte-Maxime ,maison,3600000
Irigny ,appartement,231500
Chançay ,maison,240000
Versailles ,maison,1299000
Les Sables-d'Olonne ,appartement,293000
Merignac ,maison,1150000
Aytre ,appartement,215000
Auribeau-sur-Siagne ,appartement,445000
Clichy ,appartement,740000
Chatou ,appartement,927000
Angers ,appartement,348000
Baillargues ,appartement,295000
Issy-les-Moulineaux ,appartement,549000
Mios ,maison,446000
Issy-les-Moulineaux ,appartement,1049000
Belgentier ,appartement,288400
Ajaccio ,villa,PrixNC
Saint-Rémy-de-Provence ,appartement,194000
La Garenne-Colombes ,appartement,680000
Fontenay-aux-Roses ,appartement,437250
Fontenay-aux-Roses ,appartement,636540
Ajaccio ,villa,2750000
La Roche-sur-Yon ,appartement,339000
Amiens ,maison,410000
Chailley ,maison,57000
Saint-Jean-de-Luz ,appartement,1150000
Ajaccio ,duplex,1399000
La Roche-sur-Yon ,appartement,409500
Issy-les-Moulineaux ,appartement,815000
La Garenne-Colombes ,appartement,780000
La Garenne-Colombes ,appartement,680000
Arcachon ,maison,1189000
Habsheim ,terrain,110000
Saint-Avertin ,maison,472000
La Garenne-Colombes ,appartement,990000
Guilvinec ,maison,243000
Andernos-les-Bains ,maison,820000
Habsheim ,terrain,161000
Toulouse ,appartement,328000
Menton ,appartement,453000
Colombes ,appartement,386000
Saint-Georges-d'Oléron ,maison,344000
Ermont ,appartement,310000
Saint-Malo ,appartement,375200
Mios ,maison,460080
Vendays-Montalivet ,appartement,195000
Dijon ,appartement,234000
Lege-cap-ferret ,maison,1522000
Habsheim ,terrain,123000
Poissy ,appartement,473175
Nantes ,appartement,390000
Clermont-Ferrand ,appartement,445500
Grasse ,maison,2550000
Entressen ,terrain,269900
Bosgouet ,maison,175000
Rueil-Malmaison ,locaux,165000
Albertville ,locaux,170000
Paris 16ème ,appartement,1549000
Entressen ,terrain,259900
Dijon ,appartement,292000
Marseille 10ème ,appartement,326400
Asnieres-sur-seine ,appartement,623000
Canet-en-Roussillon ,maison,635000
Guissény ,terrain,45000
Semblançay ,maison,314400
Aubervilliers ,appartement,450000
Francheville ,maison,432000
Aix-les-Bains ,manoir,2750000
Guissény ,terrain,59500
Tassin-la-Demi-Lune ,appartement,372000
Bayeux ,appartement,197000
Reims ,appartement,376068
Clermont-Ferrand ,appartement,179000
Sceaux ,appartement,1830000
Cergy ,appartement,275000
Saint-Vincent-de-Paul ,maison,247170
Saint-Nazaire ,appartement,514000
Neuilly-sur-Marne ,appartement,358000
Tourgéville ,appartement,228800
Entressen ,terrain,264900
Saint-Nazaire ,appartement,448100
Dieppe ,appartement,310000
Paris 16ème ,appartement,775000
Deauville ,appartement,430000
Guissény ,terrain,49000
Roquebrune-Cap-Martin ,appartement,1750000
Graulhet ,maison,150000
Agde ,maison,130000
Marseille 7ème ,appartement,1600000
Guissény ,terrain,59500
Paris 8ème ,appartement,433000
Paris 16ème ,appartement,1550000
Villegly ,maison,182100
Lege-cap-ferret ,villa,PrixNC
Guissény ,terrain,68000
Veigné ,maison,289300
La Ciotat ,appartement,451680
Eragny sur oise ,appartement,474680
Lege-cap-ferret ,maison,1995000
Guissény ,terrain,63000
Cabourg ,appartement,339680
Annecy ,appartement,373000
Maisons-Alfort ,appartement,415000
Cergy ,appartement,266680
Eragny sur oise ,appartement,335680
Boulogne-Billancourt ,appartement,1429000
Pomport ,maison,279510
Bayeux ,appartement,250000
Draguignan ,appartement,273000
Eyragues ,maison,500000
Guissény ,terrain,64000
Eragny sur oise ,appartement,218680
Eragny sur oise ,appartement,261680
Clamart ,appartement,771000
Pyla sur mer ,maison,1395000
Guissény ,terrain,49000
Mont-Dol ,maison,187000
Saint-Junien ,maison,171200
Bourg-en-Bresse ,appartement,95000
Pyla sur mer ,maison,2385000
Guissény ,terrain,49000
Cabourg ,appartement,561680
Cabourg ,appartement,477680
Cabourg ,appartement,294680
Pyla sur mer ,maison,4160000
Guissény ,terrain,58500
Veigné ,maison,334300
Riorges ,appartement,149680
Maule ,maison,528680
Arcachon ,maison,2480000
Le Blanc-Mesnil ,appartement,291000
Jouars-Pontchartrain ,appartement,331680
Enghien-les-Bains ,appartement,550000
Gargenville ,duplex,295000
Courbevoie ,appartement,576680
Deuil-la-Barre ,appartement,358000
L'hay-les-roses ,appartement,481000
Mios ,maison,503830
Cormeilles-en-Parisis ,appartement,388000
Sainte-Adresse ,appartement,365000
Pyla sur mer ,villa,1765000
Le Monêtier-les-Bains ,appartement,330000
Bretigny-sur-orge ,appartement,230000
Tours ,appartement,390000
Enghien-les-Bains ,appartement,535000
Gujan-Mestras ,maison,1358000
Paris 20ème ,appartement,1451080
Brantôme ,maison,988000
Lavit ,maison,129000
Nantes ,viager,145500
Pyla sur mer ,maison,1835000
Trets ,appartement,253000
Sainte-Adresse ,appartement,418000
Creteil ,appartement,363000
Deuil-la-Barre ,appartement,274000
Arcachon ,villa,3432000
Trets ,appartement,313100
Auzouer-en-Touraine ,maison,213000
Saint-Jean-de-Monts ,appartement,455600
Marcq-en-Baroeul ,appartement,870000
Pyla sur mer ,villa,2400000
Beziers ,appartement,221520
Evian-les-Bains ,appartement,522000
Deuil-la-Barre ,appartement,280000
Ayse ,appartement,303500
Joinville-le-Pont ,duplex,1386000
Deuil-la-Barre ,appartement,565000
Creteil ,appartement,299000
Maurens ,maison,380030
Guidel ,appartement,348000
Marcq-en-Baroeul ,duplex,699000
Croissy-sur-Seine ,maison,1872000
Beziers ,appartement,225000
Poisy ,appartement,408000
Charenton-le-Pont ,appartement,761000
Poissy ,appartement,291300
Annecy-le-Vieux ,appartement,1250000
Beziers ,appartement,311400
Paris 20ème ,appartement,530000
Aubervilliers ,appartement,283838
Saint-Christophe ,maison,110000
Annecy ,appartement,1060000
Beziers ,appartement,224040
Nice ,appartement,1305000
Calvi ,appartement,475000
Poissy ,appartement,284300
Fontvieille ,maison,890000
Beziers ,appartement,332880
Veigné ,maison,424300
Saint-Jean-de-Monts ,appartement,447600
Charenton-le-Pont ,appartement,727000
Pyla sur mer ,maison,10500000
Beziers ,appartement,221400
Draveil ,appartement,348000
Rueil-Malmaison ,appartement,699000
Grésy-sur-Aix ,appartement,339000
Collégien ,appartement,288000
Guidel ,appartement,481500
Grésy-sur-Aix ,appartement,359000
Clairac ,maison,213831
Istres ,appartement,298000
Rueil-Malmaison ,appartement,1205000
Peille ,maison,1550000
Beziers ,appartement,222120
Draveil ,appartement,322000
Meudon ,appartement,1115000
Draveil ,appartement,315000
Saint-Rémy-de-Provence ,propri,1800000
Beziers ,appartement,221400
Bruyeres-le-chatel ,appartement,180000
Gonfaron ,maison,420000
Roanne ,maison,365000
Lege-cap-ferret ,maison,1470000
Beziers ,appartement,221400
Collégien ,appartement,228000
Marcq-en-Baroeul ,duplex,745000
Istres ,appartement,398000
Asnieres-sur-seine ,appartement,399900
Beziers ,appartement,223080
Azay-sur-Cher ,maison,376500
Le Pradet ,appartement,650000
Grésy-sur-Aix ,appartement,349000
Cormeilles-en-Parisis ,maison,442900
Linselles ,appartement,174000
Le Pradet ,appartement,628000
Bayeux ,appartement,250000
Savigny-le-Temple ,appartement,299600
Grésy-sur-Aix ,appartement,311000
Martignas-sur-Jalle ,appartement,456000
Clichy ,appartement,679000
Escassefort ,maison,151190
Maisons-Alfort ,appartement,382000
Bayeux ,appartement,152000
Asnieres-sur-seine ,appartement,649900
Royan ,appartement,249329
Chevilly-Larue ,appartement,395000
Epagny ,appartement,512500
Le Fenouiller ,appartement,240000
La Teste-de-Buch ,terrain,450000
Rillieux-la-Pape ,appartement,291000
Gujan-Mestras ,locaux,145833
Berteaucourt-lès-Thennes ,maison,270000
Rouen ,appartement,364000
Lyon 8ème ,maison,1745000
Rillieux-la-Pape ,appartement,280000
Toulon ,appartement,579000
Bayeux ,appartement,210000
Bayeux ,appartement,197000
L'Ile-Rousse ,terrain,635000
Rillieux-la-Pape ,appartement,270000
Notre-Dame-d'Oé ,maison,319800
Ferney-Voltaire ,appartement,907000
Saint-Malo ,appartement,775100
Lege-cap-ferret ,maison,2467500
Reims ,appartement,279000
Chevilly-Larue ,duplex,568000
Charbonnières-les-Bains ,appartement,944500
Thiais ,appartement,497000
Domancy ,appartement,377845
Croix ,appartement,532000
Croix ,appartement,872000
Samazan ,maison,280780
Charbonnières-les-Bains ,appartement,687500
Ouistreham ,appartement,234000
Luzarches ,ch,4500000
Beziers ,appartement,283000
La Roche-sur-Foron ,appartement,455000
La Roche-sur-Foron ,appartement,430000
Bayeux ,appartement,265000
Saint-Rémy-de-Provence ,maison,1180000
Beziers ,appartement,189000
Le Cellier ,maison,690884
Gerardmer ,maison,479000
Villeneuve-les-avignon ,appartement,248000
Saint-Rémy-de-Provence ,maison,998000
Beziers ,appartement,279000
Pierrefitte-sur-Seine ,appartement,254000
Rueil-Malmaison ,appartement,890000
Bihorel ,appartement,279000
L'Ile-Rousse ,terrain,255000
Beziers ,appartement,287000
Veigné ,maison,424300
Bihorel ,appartement,289000
La Madeleine ,appartement,529000
L'Ile-Rousse ,terrain,380000
Beziers ,appartement,319000
Hyeres ,appartement,430000
Bayeux ,appartement,211000
Cluses ,appartement,255000
Cruseilles ,appartement,443000
Bihorel ,appartement,598000
Divonne-les-Bains ,appartement,536000
Cocumont ,maison,232440
Bezons ,appartement,389000
Rueil-Malmaison ,appartement,572600
L'Ile-Rousse ,terrain,500000
Beziers ,appartement,285000
Barneville-Carteret ,appartement,359000
Fontenay-aux-Roses ,duplex,897441
Fontenay-aux-Roses ,appartement,619905
Arcachon ,maison,3850000
Beziers ,appartement,211000
Aigues-Vives ,maison,401000
Sainte-Gemmes-sur-Loire ,locaux,520000
Montestruc-sur-Gers ,maison,129500
Pyla sur mer ,maison,7840000
Beziers ,appartement,279000
Boulogne-Billancourt ,duplex,2647000
Hyeres ,appartement,894000
Archamps ,appartement,625000
Métabief ,maison,206500
Beziers ,appartement,212000
Mazières-de-Touraine ,maison,245000
Maisons-Laffitte ,appartement,893000
Barneville-Carteret ,appartement,245000
Paris 20ème ,appartement,1385350
Beziers ,appartement,225000
Maisons-Laffitte ,duplex,985000
Neuilly-sur-Marne ,appartement,462000
Arras ,appartement,306000
Saint-Gilles-Croix-de-Vie ,maison,405000
Rueil-Malmaison ,appartement,1106000
Neuilly-sur-Marne ,appartement,528000
Marmande ,maison,278410
Bussy-Saint-Georges ,appartement,371000
Bougival ,appartement,411000
Paris 20ème ,appartement,1282350
Beziers ,appartement,212000
Charbonnières-les-Bains ,appartement,492000
Wissous ,appartement,384000
Aulnoy-lez-Valenciennes ,appartement,238000
Paris 20ème ,appartement,1153600
Beziers ,appartement,209000
Sainte-Foy-lès-Lyon ,appartement,640000
Autun ,appartement,48000
Morgny-la-Pommeraye ,maison,269000
Paris 20ème ,appartement,1400800
Beziers ,appartement,211000
Poissy ,appartement,416000
Wissous ,appartement,441000
Clamart ,appartement,529000
Saint-maur-des-fosses ,maison,1456000
Beziers ,appartement,219000
Chanceaux-sur-Choisille ,maison,281000
Chatillon ,maison,1379000
Clamart ,appartement,649000
Paris 14ème ,maison,4400000
Beziers ,appartement,217000
Paris 18ème ,appartement,649000
Boulogne-Billancourt ,maison,2950000
Paris 18ème ,appartement,1795000
Paris 16ème ,appartement,1400000
Paris 16ème ,appartement,1345000
Montrouge ,appartement,1480000
Eymet ,maison,259500
Montrouge ,appartement,895000
Le Plessis-Robinson ,appartement,465750
Le Beausset ,maison,1490000
Beziers ,appartement,205000
Fonbeauzard ,appartement,268900
Paris 15ème ,appartement,540000
Limoges ,maison,295000
Paris 18ème ,appartement,350000
Beziers ,appartement,217000
Voves ,maison,115000
Grand Bourgtheroulde ,maison,263000
Saint-Pierre-le-Moûtier ,maison,165000
Paris 17ème ,appartement,548000
Beziers ,appartement,219000
La Geneytouse ,maison,126000
Saint-Fargeau ,maison,40900
Joigny ,appartement,69000
Valmondois ,propri,735000
Beziers ,appartement,209000
Sainte-Maure-de-Touraine ,maison,323700
Saint-Bris-le-Vineux ,maison,75900
Saint-Fargeau ,maison,98000
Biganos ,maison,555000
Beziers ,appartement,219000
Fontenoy ,maison,119000
Moulins-la-Marche ,maison,195000
Mézilles ,maison,249000
Nantes ,appartement,249000
Nantes ,appartement,279000
Vitry-sur-Seine ,maison,399000
Targon ,maison,262940
Montelimar ,maison,254950
Bordeaux ,maison,1248000
Neuilly-sur-Seine ,appartement,400000
Beziers ,appartement,209000
Paris 16ème ,appartement,930000
Castelnaudary ,maison,175800
Vinassan ,maison,312000
La Celle-Saint-Cloud ,maison,1390000
Beziers ,appartement,209000
Santranges ,maison,264000
Rueil-Malmaison ,appartement,595000
Montpellier ,appartement,420000
La Rochelle ,maison,885500
Beziers ,appartement,165000
Moussan ,maison,290000
Saint-André-de-Roquelongue ,maison,245000
Narbonne ,maison,275000
La saline les bains (,maison,925000
Beziers ,appartement,227000
Mazières-de-Touraine ,maison,285000
Saint-Geniès-de-Fontedit ,maison,79000
Livry-Gargan ,appartement,379000
L'Isle-sur-la-Sorgue ,maison,997500
Beziers ,appartement,157000
Cosne-Cours-sur-Loire ,maison,472500
Marseille 12ème ,maison,1100000
Paris 15ème ,appartement,875000
Valence ,maison,307000
Champigny-sur-Marne ,appartement,386000
Neuilly-Plaisance ,appartement,333000
Targon ,maison,172220
Neuilly-Plaisance ,maison,569000
Noisy-le-Sec ,appartement,296000
Le Perreux-sur-Marne ,maison,1890000
Beziers ,appartement,158000
Neuilly-Plaisance ,appartement,399000
Noisy-le-Sec ,appartement,338000
Noisy-le-Sec ,appartement,207000
Vieugy ,maison,968000
Beziers ,appartement,157000
Nantes ,appartement,240500
Le Langon ,maison,253575
Pacy-sur-Eure ,maison,685000
Fort de france (,terrain,1095750
Beziers ,appartement,158000
Noisy-le-Sec ,appartement,370000
Noisy-le-Grand ,appartement,342000
Noisy-le-Grand ,appartement,529000
Les Sables-d'Olonne ,maison,840000
Beziers ,appartement,169000
Mettray ,maison,353000
Noisy-le-Grand ,appartement,498000
Antony ,appartement,860000
Chateaurenard ,maison,849000
Beziers ,appartement,194000
Le Bouscat ,maison,744000
Bordeaux ,duplex,294085
Puteaux ,appartement,973000
Bordeaux ,appartement,246135
Cormeilles-en-Parisis ,appartement,402000
Rueil-Malmaison ,appartement,499000
Sigoulès ,maison,252840
Antony ,maison,591800
Carrieres-sur-seine ,appartement,470000
La baule ,maison,850000
Beziers ,appartement,148000
Antony ,appartement,597000
Carrieres-sur-seine ,appartement,386000
Bondy ,appartement,400000
Paris 13ème ,appartement,1339000
Tosse ,appartement,320000
Aurillac ,appartement,85990
Lognes ,appartement,321000
Gueugnon ,maison,74000
Montrouge ,appartement,695000
Beziers ,appartement,296000
Carrieres-sur-seine ,appartement,405000
Carrieres-sur-seine ,appartement,393000
Massy ,appartement,440000
Saint-Galmier ,maison,860000
Beziers ,appartement,216000
Savigné-sur-Lathan ,maison,215000
Ermont ,appartement,260000
Carrieres-sur-seine ,appartement,320000
Chens-sur-Léman ,maison,1300000
Beziers ,appartement,218000
Saint-Ouen ,appartement,570000
Villemoisson-sur-Orge ,appartement,260000
Saint-Ouen ,appartement,478000
Rungis ,appartement,487000
Cogolin ,appartement,395000
Meaux ,appartement,226000
Bazet ,maison,155610
Antony ,appartement,770000
Antony ,maison,781500
Bayeux ,maison,693000
Beziers ,appartement,219000
Champigny-sur-Marne ,appartement,618800
Machecoul ,maison,194449
Le Bignon ,maison,231075
Lavaur ,maison,437000
Tosse ,terrain,275000
Nivillac ,maison,260708
Sainte cecile ,appartement,287000
Paris 18ème ,appartement,820000
Pont-Audemer ,maison,318000
Tosse ,terrain,315000
Machecoul ,maison,194140
Machecoul ,maison,231424
Machecoul ,maison,209638
Cormeilles ,maison,318000
Tosse ,terrain,270000
Neuvy-le-Roi ,maison,192000
Machecoul ,maison,215989
Machecoul ,maison,199023
Abondance ,chalet,880000
Beziers ,appartement,216000
Machecoul ,maison,203335
Machecoul ,maison,194645
Machecoul ,maison,208448
Arthon-en-Retz ,maison,192543
Le Bignon ,maison,213112
Le Bignon ,maison,239630
Hibarette ,maison,293780
Saint-Père-en-Retz ,maison,208112
Arthon-en-Retz ,maison,179645
Paris 15ème ,appartement,790000
Beziers ,appartement,214000
Arthon-en-Retz ,maison,188335
Le Bignon ,maison,236422
Le Bignon ,maison,244638
Meillon ,maison,1750000
Beziers ,appartement,220000
Reims ,appartement,293000
Blois ,maison,274820
Tourcoing ,locaux,381600
Sainte-Maxime ,maison,1200000
Beziers ,appartement,214000
Le Bignon ,maison,242543
Arthon-en-Retz ,maison,190697
Le Bignon ,maison,228894
Grimaud ,appartement,940000
Tosse ,terrain,330000
Savigné-sur-Lathan ,maison,215000
Le Bignon ,maison,234023
Arthon-en-Retz ,maison,190989
Grimaud ,appartement,960000
Beziers ,appartement,217000
Arthon-en-Retz ,maison,216424
Arthon-en-Retz ,maison,200722
Le Bignon ,maison,237581
Le Bignon ,maison,243448
Le Bignon ,maison,250989
Arthon-en-Retz ,maison,209961
Arcins ,maison,316940
Machecoul ,maison,214313
Arthon-en-Retz ,maison,181075
Le Pecq ,maison,2620000
Marseille 10ème ,appartement,156000
Arthon-en-Retz ,maison,187581
Vieillevigne ,maison,194140
Arthon-en-Retz ,maison,179449
Urrugne ,maison,1100000
Beziers ,appartement,218000
Orleans ,maison,434000
Saint-Laurent-sur-Sèvre ,maison,329899
Lens ,maison,131000
Cannes ,villa,1170000
Marseille 10ème ,appartement,156000
Machecoul ,maison,193894
Machecoul ,maison,204458
Vieillevigne ,maison,205989
Le Pradet ,maison,1120000
Tosse ,terrain,315000
Yzeures-sur-Creuse ,maison,183000
Saint-Père-en-Retz ,maison,245095
Vieillevigne ,maison,199023
Sainte-Maxime ,appartement,462000
Tosse ,terrain,280000
Saint-Père-en-Retz ,maison,254059
Saint-Père-en-Retz ,maison,244313
Vieillevigne ,maison,224059
Saint-Père-en-Retz ,maison,232609
Vieillevigne ,maison,196075
Saint-Père-en-Retz ,maison,238431
Arsac ,maison,349390
Saint-Père-en-Retz ,maison,239638
Saint-Père-en-Retz ,maison,224498
Sainte-Maxime ,appartement,462000
Beziers ,appartement,211000
Vieillevigne ,maison,215095
Saint-Père-en-Retz ,maison,237543
Vieillevigne ,maison,194449
Bourth ,locaux,234000
Beziers ,appartement,159000
Senlis ,maison,798000
Saulnay ,terrain,14000
Albi ,locaux,212500
Toulouse ,locaux,1350000
Beziers ,appartement,158000
Vieillevigne ,maison,208448
Vieillevigne ,maison,190500
Saint-Père-en-Retz ,maison,224449
Nice ,duplex,3780000
Tosse ,terrain,395000
Druye ,maison,270000
Vieillevigne ,maison,208439
Saint-Père-en-Retz ,maison,226075
Creteil ,maison,1590000
Tosse ,terrain,400000
Saint-Père-en-Retz ,maison,220500
Saint-Fromond ,maison,183000
Saint-Senoch ,maison,226337
Sorigny ,maison,270644
Lyon 1er ,propri,780000
Saint-Vincent-de-Reins ,propri,780000
Arsac ,maison,302280
La Possonnière ,maison,185239
La Possonnière ,maison,175952
Puteaux ,appartement,1450000
Beziers ,appartement,139000
La Possonnière ,maison,181019
La Possonnière ,maison,187827
La Possonnière ,maison,189233
Paris 16ème ,appartement,1370000
Marseille 10ème ,appartement,158000
Cavalaire-sur-Mer ,appartement,499000
Ornex ,appartement,373000
Nazelles-Négron ,terrain,91000
Paris 8ème ,appartement,980000
Tosse ,terrain,385000
La Possonnière ,maison,173221
La Possonnière ,maison,180253
La Possonnière ,maison,178737
Paris 6ème ,appartement,1090000
Beziers ,appartement,143000
Semblançay ,maison,289000
Saint-Barthélemy-d'Anjou ,maison,241279
La Possonnière ,maison,158311
Paris 16ème ,appartement,690000
Marseille 10ème ,appartement,175000
La Possonnière ,maison,172999
Jarzé ,maison,188331
Jarzé ,maison,149581
Jarzé ,maison,180087
Jarzé ,maison,158460
Jarzé ,maison,153809
Mimizan ,maison,218200
Jarzé ,maison,168481
Jarzé ,maison,154745
Paris 8ème ,appartement,1850000
Beziers ,appartement,155000
Jarzé ,maison,162503
Jarzé ,maison,142945
Jarzé ,maison,164887
Paris 16ème ,appartement,1790000
Marseille 10ème ,appartement,181000
Bobigny ,appartement,280000
Toulouse ,appartement,440000
Marseille 10ème ,maison,665000
Boulogne-Billancourt ,appartement,1950000
Tosse ,terrain,322000
Jarzé ,maison,179666
Saint-Barthélemy-d'Anjou ,maison,300947
Jarzé ,maison,163371
Boulogne-Billancourt ,appartement,1150000
Tosse ,terrain,321000
Savonnieres ,maison,310000
Saint-Barthélemy-d'Anjou ,maison,321171
Saint-Barthélemy-d'Anjou ,maison,319847
Boulogne-Billancourt ,appartement,1690000
Tosse ,terrain,330000
Saint-Barthélemy-d'Anjou ,maison,316430
Saint-Barthélemy-d'Anjou ,maison,318725
Saint-Barthélemy-d'Anjou ,maison,331784
Saint-Barthélemy-d'Anjou ,maison,335855
Saint-Barthélemy-d'Anjou ,maison,325662
Saint-Barthélemy-d'Anjou ,maison,253019
Parentis-en-Born ,maison,258500
Saint-Barthélemy-d'Anjou ,maison,311952
Saint-Barthélemy-d'Anjou ,maison,252430
Boulogne-Billancourt ,appartement,1350000
Tosse ,terrain,325000
Saint-Barthélemy-d'Anjou ,maison,308999
Saint-Barthélemy-d'Anjou ,maison,250235
Saint-Barthélemy-d'Anjou ,maison,257193
Neuilly-sur-Seine ,appartement,1900000
Tosse ,terrain,309000
Templemars ,appartement,215000
Maubeuge ,appartement,167000
Quimper ,maison,198750
Issy-les-Moulineaux ,appartement,1250000
Drancy ,appartement,194372
Saint-Barthélemy-d'Anjou ,maison,230311
Jarzé ,maison,169827
Saint-Barthélemy-d'Anjou ,maison,242111
Issy-les-Moulineaux ,appartement,1470000
Vaux-sur-Mer ,maison,480000
Artannes-sur-Indre ,maison,297000
Saint-Barthélemy-d'Anjou ,maison,249869
La Possonnière ,maison,189662
Neuilly-sur-Seine ,appartement,2249000
Poitiers ,appartement,229000
La Possonnière ,maison,211489
Saint-Barthélemy-d'Anjou ,maison,261233
Varennes ,maison,128097
Tauxigny ,maison,155771
Tauxigny ,maison,144999
Tauxigny ,maison,149869
Labouheyre ,maison,177040
Tauxigny ,maison,157193
Tauxigny ,maison,153019
Meudon ,appartement,1390000
Poitiers ,appartement,228000
Tauxigny ,maison,141279
Tauxigny ,maison,166878
Tauxigny ,maison,145221
Meudon ,appartement,1090000
Merignac ,appartement,285921
Valence ,maison,650000
Mézières-sur-Couesnon ,maison,330000
Albi ,maison,780000
Neuilly-sur-Seine ,appartement,1220000
Vaux-sur-Mer ,maison,580000
Tauxigny ,maison,142111
Varennes ,maison,155062
Tauxigny ,maison,147952
Saint-Cloud ,appartement,1550000
Merignac ,appartement,250000
Villaines-les-Rochers ,maison,203000
Tauxigny ,maison,152430
Varennes ,maison,148480
Saint-Cloud ,appartement,980000
Merignac ,appartement,250000
Varennes ,maison,137053
Varennes ,maison,153850
Varennes ,maison,123765
Verneuil-sur-Indre ,maison,162032
Varennes ,maison,144057
Verneuil-sur-Indre ,maison,149725
Rion-des-Landes ,maison,175000
Verneuil-sur-Indre ,maison,145737
Varennes ,maison,130749
Saint-Cloud ,appartement,1700000
Merignac ,appartement,245000
Verneuil-sur-Indre ,maison,150771
Varennes ,maison,136687
Verneuil-sur-Indre ,maison,171210
Levallois-Perret ,appartement,1390000
Merignac ,appartement,250000
Change ,maison,233550
Villeneuve-d'Ascq ,appartement,277000
Villefranche-sur-saone ,appartement,210000
Paris 18ème ,appartement,2000000
Merignac ,appartement,316400
Verneuil-sur-Indre ,maison,148019
Verneuil-sur-Indre ,maison,153503
Verneuil-sur-Indre ,maison,178489
Saint-Germain-en-Laye ,appartement,1133000
Le Blanc-Mesnil ,appartement,329900
Saint-Avertin ,maison,405000
Verneuil-sur-Indre ,maison,152031
Verneuil-sur-Indre ,maison,139999
Angers ,appartement,465000
Toulouse ,appartement,312000
Verneuil-sur-Indre ,maison,154827
Varennes ,maison,134770
Paris 16ème ,appartement,697000
Andernos-les-Bains ,maison,682266
Andernos-les-Bains ,maison,615781
Andernos-les-Bains ,maison,674331
Orleix ,maison,225570
Andernos-les-Bains ,maison,567500
Andernos-les-Bains ,maison,766380
Paris 7ème ,appartement,3150000
Merignac ,appartement,340300
Andernos-les-Bains ,maison,670250
Andernos-les-Bains ,maison,648485
Andernos-les-Bains ,maison,571400
Clichy ,appartement,535000
Castanet-Tolosan ,appartement,181200
Fraissé-des-Corbières ,maison,250000
Gif-sur-Yvette ,appartement,349000
Beaulieu-sur-Dordogne ,maison,105730
Paris 16ème ,appartement,560000
Merignac ,appartement,321000
Andernos-les-Bains ,maison,672348
Andernos-les-Bains ,maison,672348
Andernos-les-Bains ,maison,567870
Ville-d'Avray ,maison,2900000
Bussy-Saint-Georges ,appartement,214000
Savonnieres ,maison,430000
Andernos-les-Bains ,maison,643724
Andernos-les-Bains ,maison,673818
Le Thoronet ,maison,2950000
Merignac ,appartement,330500
Tournefeuille ,maison,650000
Moulins ,maison,211000
Saint-Pourçain-sur-Sioule ,maison,163525
Aiguines ,maison,330960
Lormont ,appartement,170000
Grabels ,maison,379800
Rion-des-Landes ,maison,197500
Marseillan ,maison,305800
Marseillan ,maison,261500
Puget-sur-Argens ,villa,1995000
Castanet-Tolosan ,appartement,229200
Marseillan ,maison,302500
Grabels ,maison,547900
Galargues ,maison,466300
Fayence ,maison,2650000
Merignac ,appartement,331000
Hauteville-sur-Fier ,propri,1280000
Saint-Vincent-de-Paul ,maison,393200
Mondragon ,maison,237000
Paris 4ème ,appartement,1050000
Merignac ,appartement,357400
Grabels ,maison,413400
Grabels ,maison,542500
Marseillan ,maison,400900
Paris 3ème ,appartement,1130000
Merignac ,appartement,321800
Neuillé-Pont-Pierre ,maison,216400
Galargues ,maison,603300
Beauvoisin ,maison,304000
Paris 7ème ,appartement,1035000
Ormoy ,appartement,249000
Beauvoisin ,maison,346500
Poulx ,maison,354400
Poulx ,maison,423500
Sauzet ,maison,291200
Poulx ,maison,414000
Sauzet ,maison,223900
Bouniagues ,maison,500000
Beauvoisin ,maison,320100
Berre-l'Etang ,maison,420000
Paris 13ème ,appartement,415000
Merignac ,appartement,315900
Cuges-les-Pins ,maison,520000
Cadenet ,maison,400000
Bollene ,maison,360000
Paris 6ème ,appartement,4500000
Poitiers ,appartement,106573
Martignas-sur-Jalle ,maison,528000
Draguignan ,maison,685000
Lyon 3ème ,appartement,308000
Paris 5ème ,appartement,4500000
Montpellier ,appartement,271700
Lambesc ,maison,450000
